id,kategori,soru,cevap
1,Öğrenci,Erasmus programı nedir?,"Erasmus+, Avrupa Birliği tarafından desteklenen bir öğrenci ve personel değişim programıdır. Öğrencilere yurtdışında öğrenim veya staj yapma imkânı sunar."
2,Öğrenci,Erasmus'a kimler başvurabilir?,"En az bir dönemini tamamlamış, not ortalaması lisans için 2.20 ve üzeri, yüksek lisans için 2.50 ve üzeri olan öğrenciler başvurabilir."
3,Öğrenci,Erasmus başvurusu ne zaman yapılır?,Başvurular genellikle üniversitelerin belirlediği takvime göre Kasım–Ocak ayları arasında yapılır.
4,Öğrenci,Erasmus sınavı nedir?,Erasmus seçiminde yazılı ve sözlü dil sınavı uygulanır. Bu sınav İngilizce veya gidilecek ülke dilinde yapılabilir.
5,Öğrenci,Erasmus hibesi ne kadardır?,"Hibe miktarı gidilen ülkenin yaşam maliyetine göre değişir, ortalama aylık 400–600 € civarındadır."
6,Öğrenci,Hibesiz Erasmus yapılabilir mi?,"Evet, hibe almadan da Erasmus programına katılmak mümkündür."
7,Öğrenci,Erasmus öğrenim süresi ne kadar?,Öğrenim hareketliliği 3 ila 12 ay arasında sürebilir.
8,Öğrenci,Erasmus staj süresi ne kadar?,"Staj hareketliliği en az 2 ay, en fazla 12 ay sürebilir."
9,Öğrenci,Erasmus başvurusu nasıl yapılır?,Başvurular üniversitelerin Uluslararası İlişkiler Ofisi veya Erasmus Koordinatörlüğü üzerinden yapılır.
10,Öğrenci,Dil yeterliliği şart mı?,"Evet, öğrencilerin yeterli düzeyde yabancı dil bilgisine sahip olması gerekir."
11,Öğrenci,Erasmus'ta dersler nasıl sayılır?,Gidilen kurumla yapılan Learning Agreement sayesinde derslerin denkliği sağlanır.
12,Öğrenci,Erasmus hibe ödemesi ne zaman yapılır?,"Hibenin %80'i hareketlilik öncesi, kalan %20'si dönüş sonrası raporla birlikte ödenir."
13,Öğrenci,Erasmus'ta başarısız olunursa ne olur?,Başarısızlık durumunda hibe kesilebilir veya iade istenebilir; ancak çoğu durumda esneklik sağlanır.
14,Öğrenci,Erasmus öğrencileri sigorta yaptırmalı mı?,"Evet, sağlık ve seyahat sigortası yaptırmak zorunludur."
15,Öğrenci,Erasmus öğrencileri için konaklama nasıl bulunur?,Ev sahibi üniversite genellikle yurt imkânı sağlar veya konaklama rehberliği sunar.
16,Öğrenci,Erasmus Mundus nedir?,"Erasmus Mundus, yüksek lisans düzeyinde çok uluslu ortak programlar sunan özel bir Erasmus+ bileşenidir."
17,Öğrenci,Erasmus staj yeri nasıl bulunur?,Öğrenciler şirketlerle doğrudan iletişime geçebilir veya üniversite aracılığıyla yer ayarlanabilir.
18,Öğrenci,Erasmus sırasında not ortalaması etkilenir mi?,"Hayır, alınan derslerin denklikleri sayıldığı için genel ortalama korunur."
19,Öğrenci,Erasmus için hangi belgeler gerekir?,"Başvuru formu, transkript, dil belgesi, motivasyon mektubu ve öğrenci belgesi gereklidir."
20,Öğrenci,Erasmus Online Language Support nedir?,Erasmus öğrencilerine çevrimiçi dil testi ve kursları sunan bir platformdur.
21,Öğretmen,Erasmus öğretmen hareketliliği nedir?,Öğretmenlerin yurtdışındaki okullarda ders verme veya eğitim alma fırsatı bulduğu Erasmus+ faaliyettir.
22,Öğretmen,Personel hareketliliği nedir?,Üniversite veya okul personelinin yurtdışında eğitim veya öğretim faaliyeti yürütmesidir.
23,Öğretmen,Öğretmen hareketliliğine kimler katılabilir?,Okullarda veya mesleki eğitim kurumlarında çalışan öğretmen ve yöneticiler katılabilir.
24,Öğretmen,Personel hareketliliği ne kadar sürer?,Bu faaliyet genellikle 2 günden 2 aya kadar sürebilir.
25,Öğretmen,Erasmus öğretmen hareketliliği için hibe veriliyor mu?,"Evet, seyahat ve günlük yaşam giderleri için hibe desteği sağlanır."
26,Öğretmen,Erasmus öğretmen hareketliliği için dil şartı var mı?,"Evet, katılımcının gideceği ülke dilinde veya İngilizce’de yeterli olması beklenir."
27,Öğretmen,Erasmus öğretmen hareketliliği başvurusu nasıl yapılır?,Başvurular okulun Erasmus koordinatörü veya ulusal ajans portalı üzerinden yapılır.
28,Öğretmen,Erasmus KA122 nedir?,"KA122, okullar için kısa süreli Erasmus+ hareketlilik projelerinin kod adıdır."
29,Öğretmen,Erasmus projelerinde ortak kurum nasıl bulunur?,"E-twinning, School Education Gateway veya partner arama platformları üzerinden bulunabilir."
30,Öğretmen,Erasmus proje yazımı için destek alabilir miyim?,"Evet, Ulusal Ajans ve birçok yerel kurum proje yazım eğitimleri düzenler."
31,Öğretmen,Erasmus hareketliliğinde hangi ülkeler yer alır?,"AB ülkeleri, Türkiye, Norveç, İzlanda, Sırbistan ve Kuzey Makedonya gibi ülkeler katılabilir."
32,Öğretmen,Erasmus projelerinde raporlama zorunlu mu?,"Evet, hareketlilik sonrasında çevrimiçi rapor doldurmak zorunludur."
33,Öğretmen,Erasmus öğretmen hareketliliğinde yaş sınırı var mı?,"Hayır, yaş sınırı bulunmamaktadır."
34,Öğretmen,Öğretmenler Erasmus ile hangi ülkelere gidebilir?,Katılımcı ülke listesinde yer alan tüm Avrupa ülkelerine gidilebilir.
35,Öğretmen,Erasmus hareketliliği için hazırlık kursu var mı?,"Evet, bazı kurumlar proje yönetimi ve dil hazırlık eğitimleri sunar."
36,Genel,Erasmus programına Türkiye dahil mi?,"Evet, Türkiye Erasmus+ program ülkeleri arasındadır."
37,Genel,Erasmus+ programı hangi alanları kapsar?,"Eğitim, gençlik, spor ve yetişkin eğitimi alanlarında projeler içerir."
